config_id,lr_stage1,lr_stage2,initial_bound,error,success_rate,execution_time
lr1_0_001_lr2_0_001_bound_0_05,0.001,0.001,0.05,'final_loss',0,15.682188034057617
lr1_0_001_lr2_0_001_bound_0_1,0.001,0.001,0.1,'final_loss',0,15.681594371795654
lr1_0_001_lr2_0_001_bound_0_15,0.001,0.001,0.15,'final_loss',0,15.54024052619934
lr1_0_005_lr2_0_001_bound_0_05,0.005,0.001,0.05,'final_loss',0,15.293206930160522
lr1_0_005_lr2_0_001_bound_0_1,0.005,0.001,0.1,'final_loss',0,11.685116529464722
lr1_0_005_lr2_0_001_bound_0_15,0.005,0.001,0.15,'final_loss',0,11.108951091766357
lr1_0_01_lr2_0_001_bound_0_05,0.01,0.001,0.05,'final_loss',0,11.527586698532104
lr1_0_01_lr2_0_001_bound_0_1,0.01,0.001,0.1,'final_loss',0,11.272705554962158
lr1_0_01_lr2_0_001_bound_0_15,0.01,0.001,0.15,'final_loss',0,11.583832502365112
lr1_0_05_lr2_0_001_bound_0_05,0.05,0.001,0.05,'final_loss',0,11.80906057357788
lr1_0_05_lr2_0_001_bound_0_1,0.05,0.001,0.1,'final_loss',0,11.786239385604858
lr1_0_05_lr2_0_001_bound_0_15,0.05,0.001,0.15,'final_loss',0,11.733367204666138
lr1_0_1_lr2_0_001_bound_0_05,0.1,0.001,0.05,'final_loss',0,10.62327265739441
lr1_0_1_lr2_0_001_bound_0_1,0.1,0.001,0.1,'final_loss',0,10.420367002487183
lr1_0_1_lr2_0_001_bound_0_15,0.1,0.001,0.15,'final_loss',0,10.53971242904663
